url,url_length,has_https,has_at,has_hyphen,digit_count,subdomain_count,has_ip,domain_age,url_entropy,type
https://www.wikipedia.org/path64,32,1,0,0,2,1,0,8908,3.9681390622295662,benign
https://www.wikipedia.org/path68,32,1,0,0,2,1,0,8908,3.9681390622295662,benign
https://www.facebook.com,24,1,0,0,0,1,0,10294,3.855388542207534,benign
https://www.facebook.com?id=6953,32,1,0,0,4,1,0,10294,4.452819531114783,benign
https://www.google.com,22,1,0,0,0,1,0,10124,3.663532754804254,benign
https://www.linkedin.com/path2,30,1,0,0,1,1,0,8249,4.0980685120588385,benign
https://www.twitter.com/path87,30,1,0,0,2,1,0,9265,3.7647351787255054,benign
https://www.apple.com/path60,28,1,0,0,2,1,0,13985,3.7979026896829464,benign
https://www.microsoft.com/path69,32,1,0,0,2,1,0,12452,3.9292292966721747,benign
https://www.wikipedia.org,25,1,0,0,0,1,0,8908,3.813660689688185,benign
https://www.apple.com/path10,28,1,0,0,2,1,0,13985,3.7979026896829464,benign
https://www.twitter.com,23,1,0,0,0,1,0,9265,3.4970558484728045,benign
https://www.microsoft.com/path18,32,1,0,0,2,1,0,12452,3.9292292966721747,benign
https://www.linkedin.com?id=3451,32,1,0,0,4,1,0,8249,4.390319531114783,benign
https://www.netflix.com/path23?id=5600,38,1,0,0,6,1,0,10067,4.5239860659612985,benign
https://www.amazon.com,22,1,0,0,0,1,0,11173,3.6978458230844122,benign
https://www.apple.com,21,1,0,0,0,1,0,13985,3.6537567082870006,benign
https://www.amazon.com/path65,29,1,0,0,2,1,0,11173,3.857306856898129,benign
https://www.microsoft.com,25,1,0,0,0,1,0,12452,3.673269689515108,benign
https://www.microsoft.com,25,1,0,0,0,1,0,12452,3.673269689515108,benign
https://www.amazon.com?id=8327,30,1,0,0,4,1,0,11173,4.348394345536403,benign
https://www.google.com/path81,29,1,0,0,2,1,0,10124,3.9262723741395082,benign
https://www.wikipedia.org,25,1,0,0,0,1,0,8908,3.813660689688185,benign
https://www.amazon.com/path24?id=4720,37,1,0,0,6,1,0,11173,4.317033095124793,benign
https://www.youtube.com/path66,30,1,0,0,2,1,0,7414,3.923231428797621,benign
https://www.netflix.com?id=6087,31,1,0,0,4,1,0,10067,4.453880987666651,benign
https://www.linkedin.com/path11?id=4857,39,1,0,0,6,1,0,8249,4.490029141717277,benign
https://www.google.com/path39?id=4893,37,1,0,0,6,1,0,10124,4.371087149178846,benign
https://www.facebook.com/path89?id=3773,39,1,0,0,6,1,0,10294,4.438747090435226,benign
https://www.youtube.com,23,1,0,0,0,1,0,7414,3.7622673906514947,benign
https://www.youtube.com,23,1,0,0,0,1,0,7414,3.7622673906514947,benign
https://www.facebook.com/path31?id=2485,39,1,0,0,6,1,0,10294,4.541311192999328,benign
https://www.linkedin.com/path25,31,1,0,0,2,1,0,8249,4.17146526179041,benign
https://www.apple.com?id=5692,29,1,0,0,4,1,0,13985,4.32316116739216,benign
https://www.amazon.com/path87?id=4667,37,1,0,0,6,1,0,11173,4.317033095124791,benign
https://www.amazon.com/path83,29,1,0,0,2,1,0,11173,3.857306856898129,benign
https://www.youtube.com,23,1,0,0,0,1,0,7414,3.7622673906514947,benign
https://www.netflix.com?id=4070,31,1,0,0,4,1,0,10067,4.389364858634393,benign
https://www.google.com,22,1,0,0,0,1,0,10124,3.663532754804254,benign
https://www.amazon.com/path65,29,1,0,0,2,1,0,11173,3.857306856898129,benign
https://www.apple.com,21,1,0,0,0,1,0,13985,3.6537567082870006,benign
https://www.wikipedia.org/path70,32,1,0,0,2,1,0,8908,3.9681390622295662,benign
https://www.twitter.com,23,1,0,0,0,1,0,9265,3.4970558484728045,benign
https://www.linkedin.com,24,1,0,0,0,1,0,8249,3.9701755214643453,benign
https://www.apple.com/path47,28,1,0,0,2,1,0,13985,3.7979026896829464,benign
https://www.youtube.com/path77,30,1,0,0,2,1,0,7414,3.923231428797621,benign
https://www.netflix.com,23,1,0,0,0,1,0,10067,3.9361804341297555,benign
https://www.wikipedia.org/path7,31,1,0,0,1,1,0,8908,3.889049535914169,benign
https://www.wikipedia.org,25,1,0,0,0,1,0,8908,3.813660689688185,benign
https://www.google.com/path74,29,1,0,0,2,1,0,10124,3.9262723741395082,benign
https://www.microsoft.com,25,1,0,0,0,1,0,12452,3.673269689515108,benign
https://www.amazon.com/path14?id=2548,37,1,0,0,6,1,0,11173,4.371087149178846,benign
https://www.apple.com,21,1,0,0,0,1,0,13985,3.6537567082870006,benign
https://www.google.com/path54,29,1,0,0,2,1,0,10124,3.9262723741395082,benign
https://www.linkedin.com,24,1,0,0,0,1,0,8249,3.9701755214643453,benign
https://www.microsoft.com,25,1,0,0,0,1,0,12452,3.673269689515108,benign
https://www.twitter.com/path43?id=7397,38,1,0,0,6,1,0,9265,4.188331131693838,benign
https://www.linkedin.com,24,1,0,0,0,1,0,8249,3.9701755214643453,benign
https://www.amazon.com/path96?id=5073,37,1,0,0,6,1,0,11173,4.425141203232901,benign
https://www.facebook.com,24,1,0,0,0,1,0,10294,3.855388542207534,benign
